00:00:16.927 [scheduling-1] INFO  c.f.s.DailyScheduled - [morningCheck,24] - 开始进行晨检......
08:27:00.762 [background-preinit] INFO  o.h.v.i.util.Version - [<clinit>,21] - HV000001: Hibernate Validator 6.1.5.Final
08:27:00.856 [main] INFO  c.f.s.i.CheckServiceImplTest - [logStarting,55] - Starting CheckServiceImplTest on DESKTOP-KSVGB5Q with PID 14052 (started by Dakuang in E:\fuckwzxy)
08:27:00.858 [main] INFO  c.f.s.i.CheckServiceImplTest - [logStartupProfileInfo,651] - No active profile set, falling back to default profiles: default
08:27:05.832 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor - [initialize,181] - Initializing ExecutorService 'applicationTaskExecutor'
08:27:06.480 [main] INFO  o.s.s.c.ThreadPoolTaskScheduler - [initialize,181] - Initializing ExecutorService 'taskScheduler'
08:27:06.629 [main] INFO  c.f.s.i.CheckServiceImplTest - [logStarted,61] - Started CheckServiceImplTest in 7.092 seconds (JVM running for 10.753)
08:27:07.366 [main] INFO  c.z.h.HikariDataSource - [getConnection,110] - HikariPool-1 - Starting...
08:27:07.973 [main] INFO  c.z.h.HikariDataSource - [getConnection,123] - HikariPool-1 - Start completed.
08:27:08.169 [SpringContextShutdownHook] INFO  o.s.s.c.ThreadPoolTaskScheduler - [shutdown,218] - Shutting down ExecutorService 'taskScheduler'
08:27:08.171 [SpringContextShutdownHook] INFO  o.s.s.c.ThreadPoolTaskExecutor - [shutdown,218] - Shutting down ExecutorService 'applicationTaskExecutor'
08:27:08.172 [SpringContextShutdownHook] INFO  c.z.h.HikariDataSource - [close,350] - HikariPool-1 - Shutdown initiated...
08:27:08.182 [SpringContextShutdownHook] INFO  c.z.h.HikariDataSource - [close,352] - HikariPool-1 - Shutdown completed.
08:29:26.315 [background-preinit] INFO  o.h.v.i.util.Version - [<clinit>,21] - HV000001: Hibernate Validator 6.1.5.Final
08:29:26.335 [main] INFO  c.f.s.i.CheckServiceImplTest - [logStarting,55] - Starting CheckServiceImplTest on DESKTOP-KSVGB5Q with PID 18396 (started by Dakuang in E:\fuckwzxy)
08:29:26.338 [main] INFO  c.f.s.i.CheckServiceImplTest - [logStartupProfileInfo,651] - No active profile set, falling back to default profiles: default
08:29:29.762 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor - [initialize,181] - Initializing ExecutorService 'applicationTaskExecutor'
08:29:30.322 [main] INFO  o.s.s.c.ThreadPoolTaskScheduler - [initialize,181] - Initializing ExecutorService 'taskScheduler'
